iter	MAPE	RMSE	R2	MAE
0	0.05185675809	0.8786286541	0.06239372304	0.7012279714
1	0.05017708848	0.8517805038	0.1188189034	0.6784997143
2	0.04853338741	0.8252336357	0.1728893303	0.6562797513
3	0.04699613487	0.8000388999	0.2226224594	0.6354964267
4	0.04552053022	0.776002609	0.2686316809	0.6155229023
5	0.04410914475	0.753293446	0.3108112828	0.5964425475
6	0.04273377139	0.7309030939	0.3511723016	0.5778442328
7	0.04142362852	0.7095964823	0.3884489884	0.5601262808
8	0.04014262725	0.6888944697	0.4236116719	0.5427692485
9	0.03891430484	0.6692064063	0.4560863466	0.5261503174
10	0.03775002143	0.6505578298	0.4859781297	0.5103926446
11	0.03665536046	0.6328101652	0.5136413158	0.4955919127
12	0.03560929528	0.6157206813	0.5395555277	0.481439496
13	0.03460662728	0.5994759307	0.5635311218	0.4678461675
14	0.03362592229	0.5835762354	0.586376717	0.4545715712
15	0.0326997875	0.5685430699	0.6074124512	0.4420501721
16	0.03182061884	0.5542443112	0.6269111505	0.4301544704
17	0.03094602365	0.5402168598	0.6455572893	0.4183038686
18	0.03012109479	0.5270162232	0.6626678379	0.4071433195
19	0.02934296386	0.5143127091	0.6787343495	0.3965986233
20	0.0285936491	0.5021141583	0.693793281	0.3864561721
21	0.02788840089	0.4905317822	0.7077570229	0.3769228738
22	0.02716780901	0.4793038906	0.7209823417	0.367156573
23	0.02647545956	0.4681667314	0.7337982667	0.3577689421
24	0.02582205922	0.4578051143	0.7454511958	0.3489122939
25	0.02521484644	0.4479602526	0.7562813618	0.3406797998
26	0.02462475399	0.4383430303	0.7666337797	0.3327068566
27	0.02402791568	0.4291916827	0.7762761031	0.3246038183
28	0.02348519324	0.4205451548	0.7851996184	0.317266937
29	0.02296019491	0.4120490271	0.7937910232	0.310168738
30	0.02245842325	0.4042204212	0.8015522032	0.3033591851
31	0.02198583941	0.3963917053	0.8091646186	0.2969516136
32	0.02154679736	0.389126388	0.8160960122	0.291009499
33	0.02111650254	0.3820743495	0.8227013022	0.285167647
34	0.02070447505	0.3753212949	0.8289133222	0.279590259
35	0.0203406156	0.3691278655	0.8345131673	0.2746624785
36	0.01996265345	0.3629942359	0.8399671135	0.2695431996
37	0.01960767605	0.3570814172	0.845138208	0.2647257962
38	0.01927352088	0.3515594518	0.8498907904	0.2601806467
39	0.01893315036	0.3461507373	0.8544740969	0.2555466924
40	0.01861570725	0.3410916012	0.8586968535	0.2512355486
41	0.01832534561	0.336196863	0.8627232165	0.2473017792
42	0.01806111406	0.3315707825	0.8664750913	0.2437314034
43	0.01779341146	0.3270327418	0.8701050545	0.2401113907
44	0.01754919791	0.3228905249	0.8733747304	0.2367837206
45	0.01730376402	0.3189986627	0.8764088122	0.2334544096
46	0.01708160761	0.315231833	0.8793103812	0.2304293094
47	0.01687082269	0.3115919216	0.8820814419	0.227546857
48	0.0166476316	0.3080010447	0.8847836374	0.224503592
49	0.01641030821	0.3040875564	0.8876929347	0.2213057102
50	0.01622386451	0.3007374648	0.8901538475	0.2187587468
51	0.01604498966	0.2976934752	0.8923662645	0.2163116187
52	0.01586980704	0.2947915634	0.8944544611	0.2139494353
53	0.01572246288	0.2921699677	0.8963233571	0.2119488035
54	0.01557376871	0.2894844974	0.8982204788	0.209933377
55	0.01539343729	0.2864609549	0.9003354634	0.20749447
56	0.01526443975	0.2841558404	0.9019329854	0.2057306318
57	0.01513403671	0.2818416395	0.9035238211	0.2039578598
