iter	Passed	Remaining
0	9	48611
1	21	53365
2	30	51367
3	43	54042
4	57	57743
5	71	59812
6	82	58504
7	91	57067
8	102	56807
9	111	55623
10	121	55177
11	132	54904
12	140	54077
13	149	53382
14	157	52417
15	166	51790
16	174	51008
17	182	50621
18	191	50115
19	199	49609
20	207	49125
21	215	48726
22	223	48387
23	231	47999
24	239	47658
25	247	47332
26	255	47035
27	263	46842
28	271	46592
29	280	46415
30	288	46243
31	296	46023
32	304	45800
33	312	45626
34	320	45476
35	328	45322
36	336	45171
37	345	45054
38	352	44888
39	361	44788
40	369	44703
41	377	44551
42	387	44639
43	394	44473
44	404	44518
45	412	44433
46	420	44278
47	428	44236
48	437	44193
49	446	44185
50	453	44051
51	461	43960
52	469	43838
53	477	43740
54	485	43641
55	493	43576
56	501	43459
57	509	43378
58	516	43266
59	524	43214
60	532	43139
61	541	43102
62	548	42982
63	556	42889
64	564	42845
65	573	42880
66	581	42787
67	589	42731
68	596	42639
69	604	42607
70	613	42593
71	623	42646
72	630	42554
73	639	42572
74	648	42615
75	658	42642
76	667	42667
77	678	42792
78	687	42809
79	697	42877
80	706	42928
81	716	42945
82	726	43028
83	733	42941
84	744	43061
85	753	43033
86	763	43110
87	775	43279
88	784	43282
89	793	43315
90	802	43317
91	812	43348
92	821	43355
93	830	43349
94	840	43393
95	848	43362
96	859	43440
97	867	43411
98	878	43469
99	886	43460
100	896	43462
101	905	43487
102	914	43459
103	925	43549
104	933	43507
105	940	43414
106	947	43339
107	955	43273
108	962	43206
109	972	43212
110	980	43196
111	988	43146
112	996	43083
113	1003	43025
114	1011	42965
115	1019	42940
116	1027	42896
117	1036	42863
118	1044	42837
119	1052	42786
120	1059	42708
121	1067	42701
122	1077	42725
123	1088	42785
124	1095	42733
125	1106	42797
126	1114	42749
127	1123	42757
128	1132	42761
129	1140	42738
130	1150	42748
131	1159	42771
132	1169	42813
133	1178	42804
134	1188	42834
135	1197	42831
136	1207	42858
137	1216	42857
138	1225	42853
139	1234	42857
140	1242	42831
141	1253	42867
142	1260	42825
143	1268	42779
144	1276	42738
145	1283	42683
146	1291	42639
147	1299	42600
148	1307	42553
149	1314	42501
150	1321	42433
151	1328	42384
152	1336	42335
153	1344	42300
154	1351	42258
155	1359	42199
156	1366	42144
157	1373	42087
158	1381	42047
159	1388	41990
160	1395	41945
161	1403	41900
162	1410	41862
163	1418	41821
164	1425	41784
165	1433	41752
166	1441	41708
167	1448	41665
168	1455	41613
169	1463	41581
170	1470	41530
171	1477	41486
172	1485	41447
173	1492	41407
174	1500	41368
175	1507	41314
176	1514	41264
177	1521	41228
178	1529	41205
179	1537	41169
180	1545	41153
181	1553	41121
182	1560	41086
183	1568	41047
184	1575	41018
185	1583	40981
186	1591	40953
187	1599	40931
188	1606	40896
189	1613	40854
190	1620	40810
191	1628	40778
192	1635	40736
193	1643	40705
194	1650	40677
195	1658	40644
196	1666	40624
197	1674	40601
198	1681	40568
199	1689	40541
200	1696	40509
201	1704	40479
202	1712	40456
203	1719	40428
204	1727	40398
205	1734	40361
206	1742	40343
207	1749	40309
208	1756	40275
209	1764	40256
210	1772	40230
211	1780	40209
212	1788	40197
213	1796	40168
214	1803	40131
215	1811	40117
216	1819	40095
217	1826	40069
218	1834	40045
219	1842	40022
220	1849	40002
221	1857	39986
222	1865	39957
223	1873	39940
224	1880	39912
225	1887	39878
226	1895	39853
227	1903	39849
228	1912	39835
229	1919	39807
230	1926	39772
231	1934	39749
232	1942	39742
233	1950	39717
234	1959	39731
235	1967	39719
236	1975	39708
237	1983	39685
238	1990	39654
239	1998	39644
240	2006	39621
241	2013	39596
242	2021	39576
243	2029	39555
244	2036	39529
245	2044	39512
246	2052	39492
247	2060	39477
248	2068	39466
249	2075	39443
250	2083	39428
251	2091	39410
252	2099	39386
253	2107	39370
254	2115	39356
255	2122	39335
256	2130	39314
257	2137	39295
258	2145	39268
259	2152	39242
260	2160	39229
261	2168	39213
262	2176	39197
263	2184	39196
264	2194	39204
265	2204	39238
266	2213	39242
267	2224	39278
268	2232	39272
269	2242	39289
270	2251	39285
271	2261	39306
272	2271	39325
273	2279	39315
274	2290	39349
275	2299	39350
276	2309	39370
277	2318	39375
278	2327	39385
279	2339	39439
280	2347	39428
281	2357	39443
282	2369	39491
283	2378	39503
284	2389	39539
285	2398	39532
286	2405	39508
287	2413	39488
288	2421	39467
289	2429	39458
290	2436	39429
291	2444	39411
292	2451	39382
293	2458	39357
294	2466	39337
295	2474	39322
296	2482	39311
297	2490	39296
298	2498	39277
299	2506	39270
300	2514	39248
301	2523	39249
302	2530	39234
303	2538	39213
304	2546	39194
305	2553	39170
306	2561	39156
307	2569	39140
308	2577	39124
309	2584	39104
310	2592	39083
311	2600	39067
312	2607	39050
313	2615	39029
314	2623	39015
315	2631	39007
316	2639	38986
317	2647	38974
318	2654	38952
319	2662	38934
320	2669	38913
321	2677	38898
322	2684	38874
323	2692	38860
324	2702	38876
325	2711	38871
326	2720	38877
327	2729	38885
328	2738	38886
329	2749	38907
330	2758	38907
331	2768	38924
332	2777	38931
333	2787	38934
334	2797	38954
335	2805	38942
336	2816	38970
337	2824	38958
338	2834	38976
339	2843	38968
340	2853	38983
341	2862	38989
342	2871	38986
343	2881	39000
344	2888	38975
345	2900	39010
346	2908	39005
347	2918	39010
348	2927	39017
349	2936	39012
350	2947	39035
351	2955	39020
352	2966	39046
353	2974	39039
354	2981	39014
355	2989	38992
356	2996	38976
357	3005	38968
358	3012	38943
359	3020	38926
360	3028	38913
361	3035	38893
362	3043	38872
363	3051	38860
364	3060	38868
365	3068	38856
366	3076	38843
367	3083	38813
368	3092	38805
369	3099	38791
370	3108	38779
371	3115	38755
372	3123	38743
373	3131	38730
374	3138	38713
375	3147	38702
376	3154	38681
377	3162	38664
378	3170	38659
379	3178	38643
380	3186	38627
381	3193	38612
382	3201	38588
383	3208	38568
384	3215	38548
385	3224	38541
386	3231	38515
387	3239	38504
388	3246	38480
389	3254	38474
390	3262	38456
391	3271	38456
392	3280	38456
393	3290	38468
394	3299	38462
395	3307	38457
396	3316	38455
397	3327	38477
398	3336	38472
399	3346	38483
400	3356	38493
401	3364	38484
402	3374	38497
403	3383	38493
404	3394	38507
405	3402	38501
406	3411	38501
407	3422	38514
408	3430	38510
409	3441	38525
410	3448	38503
411	3459	38520
412	3466	38506
413	3474	38492
414	3482	38472
415	3489	38452
416	3496	38430
417	3504	38418
418	3511	38396
419	3519	38380
420	3527	38365
421	3536	38361
422	3544	38347
423	3552	38338
424	3559	38321
425	3568	38313
426	3575	38294
427	3583	38281
428	3591	38262
429	3598	38246
430	3606	38232
431	3614	38221
432	3621	38197
433	3629	38182
434	3636	38162
435	3643	38144
436	3654	38162
437	3662	38150
438	3670	38132
439	3677	38115
440	3685	38103
441	3693	38089
442	3703	38101
443	3712	38097
444	3723	38110
445	3732	38111
446	3742	38121
447	3752	38132
448	3760	38118
449	3771	38132
450	3780	38134
451	3790	38136
452	3799	38136
453	3808	38133
454	3817	38134
455	3826	38132
456	3836	38141
457	3845	38134
458	3855	38140
459	3865	38146
460	3874	38147
461	3884	38159
462	3893	38152
463	3903	38163
464	3912	38155
465	3922	38160
466	3931	38164
467	3939	38148
468	3947	38132
469	3954	38119
470	3963	38107
471	3969	38084
472	3977	38069
473	3986	38061
474	3994	38048
475	4001	38032
476	4008	38012
477	4016	38000
478	4024	37982
479	4031	37964
480	4039	37955
481	4047	37937
482	4057	37941
483	4064	37926
484	4072	37910
485	4080	37897
486	4087	37878
487	4095	37862
488	4102	37846
489	4110	37832
490	4118	37818
491	4125	37804
492	4134	37793
493	4141	37780
494	4149	37766
495	4157	37752
496	4164	37736
497	4173	37726
498	4180	37710
499	4189	37702
500	4197	37689
501	4204	37672
502	4211	37654
503	4219	37642
504	4227	37630
505	4235	37619
506	4243	37608
507	4251	37589
508	4259	37585
509	4266	37566
510	4275	37559
511	4283	37547
512	4290	37526
513	4297	37510
514	4305	37497
515	4312	37479
516	4320	37463
517	4327	37446
518	4335	37428
519	4343	37418
520	4352	37421
521	4360	37402
522	4369	37402
523	4377	37390
524	4385	37382
525	4394	37375
526	4401	37359
527	4408	37340
528	4415	37322
529	4423	37308
530	4431	37295
531	4439	37282
532	4446	37265
533	4454	37256
534	4462	37242
535	4470	37228
536	4477	37212
537	4485	37201
538	4492	37185
539	4500	37169
540	4510	37177
541	4518	37165
542	4525	37147
543	4532	37126
544	4542	37129
545	4549	37115
546	4559	37114
547	4568	37114
548	4578	37116
549	4586	37112
550	4596	37117
551	4606	37121
552	4615	37114
553	4625	37123
554	4634	37120
555	4645	37134
556	4655	37133
557	4664	37129
558	4680	37187
559	4690	37190
560	4698	37178
561	4708	37183
562	4717	37181
563	4728	37192
564	4738	37195
565	4747	37187
566	4757	37198
567	4766	37190
568	4774	37179
569	4782	37166
570	4789	37151
571	4797	37139
572	4805	37128
573	4813	37112
574	4820	37100
575	4828	37088
576	4837	37080
577	4844	37064
578	4852	37051
579	4859	37032
580	4867	37018
581	4874	37005
582	4882	36993
583	4890	36981
584	4897	36965
585	4905	36951
586	4912	36934
587	4921	36931
588	4929	36919
589	4937	36902
590	4944	36885
591	4951	36871
592	4959	36854
593	4966	36835
594	4973	36823
595	4982	36818
596	4990	36803
597	4997	36791
598	5005	36777
599	5013	36766
600	5020	36747
601	5028	36737
602	5035	36720
603	5043	36704
604	5051	36697
605	5058	36680
606	5066	36667
607	5074	36659
608	5082	36648
609	5090	36636
610	5099	36629
611	5106	36613
612	5113	36598
613	5122	36592
614	5130	36578
615	5138	36569
616	5145	36552
617	5152	36533
618	5160	36522
619	5168	36510
620	5175	36494
621	5183	36483
622	5191	36473
623	5199	36460
624	5206	36444
625	5214	36432
626	5221	36417
627	5229	36406
628	5237	36398
629	5245	36385
630	5252	36368
631	5260	36356
632	5267	36338
633	5278	36347
634	5289	36357
635	5300	36371
636	5310	36373
637	5321	36380
638	5331	36387
639	5342	36395
640	5365	36489
641	5388	36576
642	5405	36629
643	5415	36627
644	5424	36627
645	5433	36621
646	5442	36617
647	5449	36600
648	5458	36595
649	5465	36578
650	5474	36573
651	5482	36560
652	5489	36546
653	5498	36537
